************ Start Display Current Environment ************
WebSphere Platform 6.1 [ND 6.1.0.31 cf311015.02]  running with process name qmpay1Cell01\qmpay1Node01\qmpay1Tsms and process id 28051
Detailed IFix information: Please use the versionInfo command to view this information
Host Operating System is Linux, version 2.6.9-55.ELsmp
Java version = 1.5.0, Java Compiler = j9jit23, Java VM name = IBM J9 VM
was.install.root = /opt/IBM/WebSphere/AppServer
user.install.root = /opt/IBM/WebSphere/AppServer/profiles/AppSrv01
Java Home = /opt/IBM/WebSphere/AppServer/java/jre
ws.ext.dirs = /opt/IBM/WebSphere/AppServer/java/lib:/opt/IBM/WebSphere/AppServer/profiles/AppSrv01/classes:/opt/IBM/WebSphere/AppServer/classes:/opt/IBM/WebSphere/AppServer/lib:/opt/IBM/WebSphere/AppServer/installedChannels:/opt/IBM/WebSphere/AppServer/lib/ext:/opt/IBM/WebSphere/AppServer/web/help:/opt/IBM/WebSphere/AppServer/deploytool/itp/plugins/com.ibm.etools.ejbdeploy/runtime
Classpath = /opt/IBM/WebSphere/AppServer/profiles/AppSrv01/properties:/opt/IBM/WebSphere/AppServer/properties:/opt/IBM/WebSphere/AppServer/lib/startup.jar:/opt/IBM/WebSphere/AppServer/lib/bootstrap.jar:/opt/IBM/WebSphere/AppServer/lib/j2ee.jar:/opt/IBM/WebSphere/AppServer/lib/lmproxy.jar:/opt/IBM/WebSphere/AppServer/lib/urlprotocols.jar:/opt/IBM/WebSphere/AppServer/deploytool/itp/batchboot.jar:/opt/IBM/WebSphere/AppServer/deploytool/itp/batch2.jar:/opt/IBM/WebSphere/AppServer/java/lib/tools.jar
Java Library path = /opt/IBM/WebSphere/AppServer/java/jre/bin:/opt/IBM/WebSphere/AppServer/bin::/usr/lib:/opt/IBM/WebSphere/AppServer/lib/WMQ/java/lib
************* End Display Current Environment *************
[10-11-15 17:34:10:210 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:10:212 CST] 000003bc SystemOut     O tempOrder id:1078--status:5--正常订单不用导出
[10-11-15 17:34:10:212 CST] 000003bc SystemOut     O group id:739
[10-11-15 17:34:10:627 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:10:628 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:10:628 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:10:628 CST] 000003bc SystemOut     O tempOrder id:1077--status:5--正常订单不用导出
[10-11-15 17:34:10:628 CST] 000003bc SystemOut     O group id:738
[10-11-15 17:34:11:051 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:11:052 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:11:052 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:11:052 CST] 000003bc SystemOut     O tempOrder id:1121--status:5--正常订单不用导出
[10-11-15 17:34:11:052 CST] 000003bc SystemOut     O group id:737
[10-11-15 17:34:11:463 CST] 000003bc SystemOut     O AirticketOrder List size:1
[10-11-15 17:34:11:464 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:11:464 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->1
[10-11-15 17:34:11:465 CST] 000003bc SystemOut     O add tempOrder id:1070--status:6--非正常订单，退废报表导出
[10-11-15 17:34:11:465 CST] 000003bc SystemOut     O group id:736
[10-11-15 17:34:11:877 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:11:878 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:11:878 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:11:878 CST] 000003bc SystemOut     O tempOrder id:1071--status:3--正常订单不用导出
[10-11-15 17:34:11:878 CST] 000003bc SystemOut     O group id:735
[10-11-15 17:34:12:292 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:12:293 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:12:293 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:12:293 CST] 000003bc SystemOut     O tempOrder id:1073--status:3--正常订单不用导出
[10-11-15 17:34:12:293 CST] 000003bc SystemOut     O group id:734
[10-11-15 17:34:12:707 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:12:708 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:12:708 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:12:708 CST] 000003bc SystemOut     O tempOrder id:1065--status:5--正常订单不用导出
[10-11-15 17:34:12:708 CST] 000003bc SystemOut     O group id:733
[10-11-15 17:34:13:122 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:13:123 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:13:123 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:13:123 CST] 000003bc SystemOut     O tempOrder id:1066--status:5--正常订单不用导出
[10-11-15 17:34:13:123 CST] 000003bc SystemOut     O group id:732
[10-11-15 17:34:13:539 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:13:540 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:13:540 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:13:540 CST] 000003bc SystemOut     O tempOrder id:1062--status:5--正常订单不用导出
[10-11-15 17:34:13:540 CST] 000003bc SystemOut     O group id:731
[10-11-15 17:34:13:959 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:13:960 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:13:960 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:13:960 CST] 000003bc SystemOut     O tempOrder id:1063--status:5--正常订单不用导出
[10-11-15 17:34:13:960 CST] 000003bc SystemOut     O group id:730
[10-11-15 17:34:14:377 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:14:378 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:14:378 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:14:378 CST] 000003bc SystemOut     O tempOrder id:1067--status:5--正常订单不用导出
[10-11-15 17:34:14:378 CST] 000003bc SystemOut     O group id:729
[10-11-15 17:34:14:796 CST] 000003bc SystemOut     O AirticketOrder List size:2
[10-11-15 17:34:14:797 CST] 000003bc SystemOut     O exchange AiriticketGroup List Success..1
[10-11-15 17:34:14:797 CST] 000003bc SystemOut     O getTempRetireReportList orderList size--->2
[10-11-15 17:34:14:797 CST] 000003bc SystemOut     O tempOrder id:1057--status:5--正常订单不用导出
